Código,Nome,Estado,Sigla Gênero,Gênero,Data de nascimento,Idade,Primeira legislatura
311,Jorge Goetten,SC,M,Masculino,10/04/1962,63,TRUE
312,Jorge Solla,BA,M,Masculino,11/04/1961,64,TRUE
313,José Airton Félix Cirilo,CE,M,Masculino,21/02/1957,68,TRUE
314,José Guimarães,CE,M,Masculino,13/02/1957,68,TRUE
315,José Medeiros,RN,M,Masculino,19/03/1970,55,TRUE
316,José Nelto,MG,M,Masculino,19/09/1960,65,TRUE
317,José Priante,PA,M,Masculino,02/12/1963,61,TRUE
318,José Rocha,BA,M,Masculino,18/08/1948,77,TRUE
319,Joseildo Ramos,BA,M,Masculino,23/08/1957,68,TRUE
320,Josenildo,AP,M,Masculino,29/03/1973,52,TRUE
321,Josias Gomes,PE,M,Masculino,14/10/1956,69,TRUE
322,Josimar Maranhãozinho,CE,M,Masculino,13/11/1976,48,TRUE
323,Josivaldo JP,PA,M,Masculino,29/11/1983,41,TRUE
324,Juarez Costa,PR,M,Masculino,20/01/1960,65,TRUE
325,Julia Zanatta,SC,F,Feminino,20/03/1985,40,TRUE
326,Juliana Cardoso,SP,F,Feminino,22/10/1979,46,TRUE
327,Juliana Kolankiewicz,PR,F,Feminino,11/08/1979,46,TRUE
328,Julio Arcoverde,PI,M,Masculino,14/02/1966,59,TRUE
329,Júlio Cesar,PI,M,Masculino,25/08/1948,77,TRUE
330,Julio Cesar Ribeiro,SP,M,Masculino,24/02/1975,50,FALSE
331,Julio Lopes,RJ,M,Masculino,06/04/1959,66,TRUE
332,Júlio Oliveira,PI,M,Masculino,03/03/1974,51,TRUE
333,Juninho do Pneu,RJ,M,Masculino,23/10/1976,49,TRUE
334,Junio Amaral,MG,M,Masculino,30/06/1987,38,TRUE
335,Júnior Ferrari,PA,M,Masculino,13/07/1967,58,TRUE
336,Junior Lourenço,MA,M,Masculino,18/10/1978,47,TRUE
337,Júnior Mano,CE,M,Masculino,16/04/1985,40,TRUE
338,Juscelino Filho,MA,M,Masculino,06/11/1984,40,TRUE
339,Katia Dias,MG,F,Feminino,27/02/1978,47,TRUE
340,Keniston Braga,PA,M,Masculino,02/06/1967,58,TRUE
341,Kiko Celeguim,SP,M,Masculino,05/05/1984,41,TRUE
342,Kim Kataguiri,SP,M,Masculino,28/01/1996,29,TRUE
343,Lafayette de Andrada,MG,M,Masculino,17/10/1966,59,TRUE
344,Laura Carneiro,RJ,F,Feminino,01/05/1963,62,TRUE
345,Lázaro Botelho,MA,M,Masculino,11/02/1947,78,TRUE
346,Leandre,PR,F,Feminino,20/12/1975,49,TRUE
347,Lebrão,SP,M,Masculino,10/03/1955,70,TRUE
348,Lêda Borges,MG,F,Feminino,02/11/1961,63,TRUE
349,Lenir de Assis,PR,F,Feminino,18/09/1969,56,TRUE
350,Leo Prates,BA,M,Masculino,05/04/1978,47,TRUE
351,Leonardo Gadelha,DF,M,Masculino,12/05/1975,50,TRUE
352,Leonardo Monteiro,MG,M,Masculino,09/10/1951,74,TRUE
353,Leônidas Cristino,CE,M,Masculino,03/06/1957,68,TRUE
354,Leur Lomanto Júnior,BA,M,Masculino,28/10/1976,48,TRUE
355,Lídice da Mata,BA,F,Feminino,12/03/1956,69,TRUE
356,Lincoln Portela,MG,M,Masculino,03/11/1953,71,TRUE
357,Lindbergh Farias,PB,M,Masculino,08/12/1969,55,TRUE
358,Loreny,SP,F,Feminino,11/07/1991,34,TRUE
359,Lucas Ramos,PE,M,Masculino,14/02/1986,39,TRUE
360,Lucas Redecker,RS,M,Masculino,26/05/1981,44,TRUE
361,Luciano Alves,PR,M,Masculino,08/01/1973,52,TRUE
362,Luciano Amaral,AL,M,Masculino,27/06/1986,39,TRUE
363,Luciano Azevedo,RS,M,Masculino,24/05/1969,56,TRUE
364,Luciano Bivar,PE,M,Masculino,29/11/1944,80,TRUE
365,Luciano Ducci,PR,M,Masculino,23/03/1955,70,FALSE
366,Luciano Galego,MA,M,Masculino,16/07/1984,41,TRUE
367,Luciano Vieira,RJ,M,Masculino,26/04/1988,37,TRUE
368,Lucio Mosquini,MT,M,Masculino,23/07/1969,56,TRUE
369,Lucyana Genésio,MA,F,Feminino,08/10/1979,46,TRUE
370,Luis Carlos Gomes,RJ,M,Masculino,05/05/1966,59,TRUE
371,Luis Tibé,MG,M,Masculino,23/07/1971,54,TRUE
372,Luisa Canziani,PR,F,Feminino,11/04/1996,29,TRUE
373,Luiz Antonio Corrêa,RJ,M,Masculino,27/12/1940,84,TRUE
374,Luiz Carlos Busato,SC,M,Masculino,06/11/1948,76,TRUE
375,Luiz Carlos Hauly,PR,M,Masculino,08/10/1950,75,TRUE
376,Luiz Carlos Motta,SP,M,Masculino,24/04/1959,66,FALSE
377,Luiz Couto,PB,M,Masculino,13/02/1945,80,FALSE
378,Luiz Fernando Faria,MG,M,Masculino,12/09/1957,68,TRUE
379,Luiz Fernando Vampiro,SC,M,Masculino,07/11/1973,51,TRUE
380,Luiz Gastão,RJ,M,Masculino,19/08/1962,63,TRUE
381,Luiz Lima,RJ,M,Masculino,10/12/1977,47,TRUE
382,Luiz Marinho,SP,M,Masculino,20/05/1959,66,TRUE
383,Luiz Nishimori,PR,M,Masculino,09/04/1949,76,TRUE
384,Luiz Philippe de Orleans e Bragança,RJ,M,Masculino,03/04/1969,56,TRUE
385,Luiza Erundina,PB,F,Feminino,30/11/1934,90,TRUE
386,Luizianne Lins,CE,F,Feminino,18/11/1968,56,TRUE
387,Lula da Fonte,PE,M,Masculino,08/12/2000,24,TRUE
388,Magda Mofatto,SP,F,Feminino,26/10/1948,77,TRUE
389,Marangoni,SP,M,Masculino,22/01/1980,45,TRUE
390,Marcel van Hattem,RS,M,Masculino,08/11/1985,39,FALSE
391,Marcelo Álvaro Antônio,MG,M,Masculino,16/02/1974,51,TRUE
392,Marcelo Calero,RJ,M,Masculino,07/07/1982,43,TRUE
393,Marcelo Crivella,RJ,M,Masculino,09/10/1957,68,TRUE
394,Marcelo Lima,SP,M,Masculino,21/03/1983,42,TRUE
395,Marcelo Moraes,RS,M,Masculino,07/08/1979,46,TRUE
396,Marcelo Queiroz,RJ,M,Masculino,03/11/1984,40,TRUE
397,Marcio Alvino,SP,M,Masculino,14/06/1969,56,TRUE
398,Márcio Biolchi,RS,M,Masculino,23/05/1979,46,TRUE
399,Márcio Correa,GO,M,Masculino,31/05/1980,45,TRUE
400,Márcio Honaiser,RS,M,Masculino,04/04/1967,58,TRUE
401,Márcio Jerry,MA,M,Masculino,14/11/1966,58,TRUE
402,Márcio Marinho,RJ,M,Masculino,12/12/1970,54,TRUE
403,Marco Bertaiolli,SP,M,Masculino,30/04/1968,57,TRUE
404,Marco Brasil,SP,M,Masculino,28/01/1966,59,TRUE
405,Marcon,RS,M,Masculino,21/09/1964,61,TRUE
406,Marcos Aurélio Sampaio,PI,M,Masculino,19/09/1991,34,TRUE
407,Marcos Pereira,ES,M,Masculino,04/04/1972,53,TRUE
408,Marcos Pollon,MS,M,Masculino,19/01/1981,44,TRUE
409,Marcos Soares,RJ,M,Masculino,16/05/1978,47,TRUE
410,Marcos Tavares,RJ,M,Masculino,28/01/1978,47,TRUE
411,Maria Arraes,PE,F,Feminino,24/02/1994,31,TRUE
412,Maria do Rosário,RS,F,Feminino,22/11/1966,58,TRUE
413,Maria Rosas,RJ,F,Feminino,01/10/1965,60,TRUE
414,Mariana Carvalho,MA,F,Feminino,02/07/1994,31,TRUE
415,Marina Silva,AC,F,Feminino,08/02/1958,67,TRUE
416,Mario Frias,RJ,M,Masculino,09/10/1971,54,TRUE
417,Mário Heringer,MG,M,Masculino,30/09/1954,71,TRUE
418,Mário Negromonte Jr.,BA,M,Masculino,31/08/1980,45,TRUE
419,Marreca Filho,MA,M,Masculino,25/04/1992,33,TRUE
420,Marussa Boldrin,GO,F,Feminino,25/06/1990,35,TRUE
421,Marx Beltrão,AL,M,Masculino,28/11/1979,45,TRUE
422,Matheus Noronha,PA,M,Masculino,10/09/1998,27,TRUE
423,Maurício Carvalho,RO,M,Masculino,25/06/1988,37,TRUE
424,Mauricio do Vôlei,MG,M,Masculino,29/09/1988,37,TRUE
425,Mauricio Marcon,RS,M,Masculino,24/01/1987,38,TRUE
426,Mauricio Neves,SP,M,Masculino,05/11/1979,45,TRUE
427,Mauro Benevides Filho,CE,M,Masculino,09/03/1959,66,TRUE
428,Max Lemos,RJ,M,Masculino,17/01/1966,59,TRUE
429,Meire Serafim,RO,F,Feminino,10/02/1975,50,TRUE
430,Mendonça Filho,PE,M,Masculino,12/07/1966,59,TRUE
431,Merlong Solano,PI,M,Masculino,17/09/1958,67,TRUE
432,Mersinho Lucena,PB,M,Masculino,08/02/1981,44,TRUE
433,Messias Donato,BA,M,Masculino,06/08/1976,49,TRUE
434,Miguel Ângelo,MG,M,Masculino,11/10/1991,34,TRUE
435,Miguel Lombardi,SP,M,Masculino,29/01/1964,61,FALSE
436,Milton Vieira,SP,M,Masculino,16/09/1962,63,TRUE
437,Misael Varella,MG,M,Masculino,27/11/1959,65,TRUE
438,Missionária Michele Collins,MG,F,Feminino,17/10/1977,48,TRUE
439,Missionário José Olimpio,SP,M,Masculino,11/12/1956,68,TRUE
440,Moses Rodrigues,CE,M,Masculino,06/06/1978,47,TRUE
441,Murillo Gouvea,RJ,M,Masculino,22/09/1986,39,TRUE
442,Murilo Galdino,PB,M,Masculino,02/07/1980,45,TRUE
443,Natália Bonavides,RN,F,Feminino,15/06/1988,37,TRUE
444,Naumi Amorim,CE,M,Masculino,30/01/1967,58,TRUE
445,Nelinho Freitas,CE,M,Masculino,07/03/1983,42,TRUE
446,Nelson Barbudo,SP,M,Masculino,14/02/1960,65,TRUE
447,Nely Aquino,MG,F,Feminino,17/11/1972,52,TRUE
448,Neto Carletto,BA,M,Masculino,28/05/1996,29,TRUE
449,Newton Bonin,PR,M,Masculino,29/08/1960,65,TRUE
450,Newton Cardoso Jr,MG,M,Masculino,11/11/1979,45,TRUE
451,Nicoletti,RS,M,Masculino,21/07/1981,44,TRUE
452,Nikolas Ferreira,MG,M,Masculino,30/05/1996,29,TRUE
453,Nilto Tatto,RS,M,Masculino,31/07/1963,62,TRUE
454,Nitinho,SE,M,Masculino,31/05/1966,59,TRUE
455,Odair Cunha,SP,M,Masculino,18/06/1976,49,TRUE
456,Olival Marques,PA,M,Masculino,09/01/1982,43,TRUE
457,Orlando Silva,BA,M,Masculino,27/05/1971,54,TRUE
458,Osmar Terra,RS,M,Masculino,18/02/1950,75,TRUE
459,Ossesio Silva,RJ,M,Masculino,09/12/1954,70,TRUE
460,Otoni de Paula,RJ,M,Masculino,22/11/1976,48,TRUE
461,Otto Alencar Filho,BA,M,Masculino,07/07/1977,48,TRUE
462,Padovani,PR,M,Masculino,29/10/1977,47,TRUE
463,Padre João,MG,M,Masculino,28/02/1967,58,TRUE
464,Pastor Claudio Mariano,GO,M,Masculino,16/12/1976,48,TRUE
465,Pastor Diniz,RR,M,Masculino,21/03/1980,45,TRUE
466,Pastor Eurico,SP,M,Masculino,12/09/1962,63,TRUE
467,Pastor Gil,MA,M,Masculino,08/11/1971,53,TRUE
468,Pastor Henrique Vieira,RJ,M,Masculino,15/04/1987,38,TRUE
469,Pastor Sargento Isidório,BA,M,Masculino,28/07/1962,63,TRUE
470,Patrus Ananias,MG,M,Masculino,26/01/1952,73,TRUE
471,Pauderney Avelino,AM,M,Masculino,24/09/1954,71,TRUE
472,Paulão,PE,M,Masculino,15/09/1957,68,TRUE
473,Paulinho da Força,PR,M,Masculino,24/02/1956,69,TRUE
474,Paulinho Freire,RN,M,Masculino,22/10/1964,61,TRUE
475,Paulo Abi-Ackel,MG,M,Masculino,21/06/1963,62,FALSE
476,Paulo Alexandre Barbosa,SP,M,Masculino,09/01/1979,46,TRUE
477,Paulo Azi,BA,M,Masculino,14/01/1963,62,TRUE
478,Paulo Folletto,ES,M,Masculino,30/04/1956,69,TRUE
479,Paulo Freire Costa,SP,M,Masculino,14/02/1955,70,TRUE
480,Paulo Guedes,MG,M,Masculino,01/10/1970,55,TRUE
481,Paulo Lemos,PA,M,Masculino,08/01/1972,53,TRUE
482,Paulo Litro,PR,M,Masculino,30/10/1991,33,TRUE
483,Paulo Magalhães,BA,M,Masculino,28/11/1952,72,TRUE
484,Paulo Marinho Jr,MA,M,Masculino,09/02/1985,40,TRUE
485,Paulo Pimenta,RS,M,Masculino,19/03/1965,60,TRUE
486,Paulo Teixeira,SP,M,Masculino,09/05/1961,64,TRUE
487,Pedro Aihara,MG,M,Masculino,16/02/1993,32,TRUE
488,Pedro Campos,PE,M,Masculino,28/10/1995,29,TRUE
489,Pedro Jr,MA,M,Masculino,29/03/1970,55,TRUE
490,Pedro Lucas Fernandes,MA,M,Masculino,01/11/1979,45,TRUE
491,Pedro Lupion,PR,M,Masculino,04/06/1983,42,TRUE
492,Pedro Paulo,RJ,M,Masculino,29/06/1972,53,TRUE
493,Pedro Tourinho,MG,M,Masculino,19/12/1981,43,TRUE
494,Pedro Uczai,SC,M,Masculino,10/03/1963,62,TRUE
495,Pedro Westphalen,RS,M,Masculino,19/12/1950,74,TRUE
496,Pezenti,SC,M,Masculino,06/06/1987,38,TRUE
497,Pinheirinho,MG,M,Masculino,30/05/1991,34,TRUE
498,Pompeo de Mattos,RS,M,Masculino,12/07/1958,67,TRUE
499,Pr. Marco Feliciano,SP,M,Masculino,12/10/1972,53,TRUE
500,Priscila Costa,CE,F,Feminino,12/09/1984,41,TRUE
501,Prof. Paulo Fernando,DF,M,Masculino,11/06/1967,58,TRUE
502,Prof. Reginaldo Veras,CE,M,Masculino,02/01/1973,52,TRUE
503,Professor Alcides,BA,M,Masculino,25/10/1953,72,TRUE
504,Professora Goreth,AP,F,Feminino,09/09/1963,62,TRUE
505,Professora Luciene Cavalcante,SP,F,Feminino,21/12/1979,45,TRUE
506,Professora Marcivania,AP,F,Feminino,21/06/1973,52,TRUE
507,Rafael Brito,AL,M,Masculino,25/08/1981,44,TRUE
508,Rafael Fera,RO,M,Masculino,06/02/1990,35,TRUE
509,Rafael Prudente,DF,M,Masculino,05/11/1983,41,TRUE
510,Rafael Simoes,MG,M,Masculino,29/11/1964,60,TRUE
511,Raimundo Costa,BA,M,Masculino,09/03/1961,64,TRUE
512,Raimundo Santos,PA,M,Masculino,10/10/1955,70,TRUE
513,Raniery Paulino,PB,M,Masculino,18/10/1978,47,TRUE
514,Reginaldo Lopes,MG,M,Masculino,02/04/1973,52,TRUE
515,Reginete Bispo,RS,F,Feminino,23/01/1963,62,TRUE
516,Reimont,MG,M,Masculino,02/09/1961,64,TRUE
517,Reinhold Stephanes,PR,M,Masculino,26/07/1965,60,FALSE
518,Renan Ferreirinha,RJ,M,Masculino,23/10/1993,32,TRUE
519,Renata Abreu,SP,F,Feminino,15/04/1982,43,TRUE
520,Renilce Nicodemos,PA,F,Feminino,08/12/1976,48,TRUE
521,Renildo Calheiros,AL,M,Masculino,20/04/1959,66,TRUE
522,Ribamar Silva,SP,M,Masculino,27/05/1975,50,TRUE
523,Ricardo Abrão,RJ,M,Masculino,13/09/1972,53,TRUE
524,Ricardo Ayres,GO,M,Masculino,17/01/1979,46,TRUE
525,Ricardo Barros,PR,M,Masculino,15/11/1959,65,TRUE
526,Ricardo Guidi,SC,M,Masculino,28/09/1977,48,TRUE
527,Ricardo Maia,BA,M,Masculino,26/08/1975,50,TRUE
528,Ricardo Salles,SP,M,Masculino,08/06/1975,50,TRUE
529,Ricardo Silva,SP,M,Masculino,01/09/1985,40,TRUE
530,Robério Monteiro,CE,M,Masculino,15/02/1970,55,TRUE
531,Roberta Roma,BA,F,Feminino,11/05/1980,45,TRUE
532,Roberto Duarte,RS,M,Masculino,25/04/1975,50,TRUE
533,Roberto Monteiro Pai,RJ,M,Masculino,08/12/1956,68,TRUE
534,Robinson Faria,RN,M,Masculino,12/04/1959,66,TRUE
535,Rodolfo Nogueira,MS,M,Masculino,24/11/1973,51,TRUE
536,Rodrigo da Zaeli,PR,M,Masculino,26/11/1975,49,TRUE
537,Rodrigo de Castro,MG,M,Masculino,15/07/1971,54,TRUE
538,Rodrigo Estacho,PR,M,Masculino,16/01/1989,36,TRUE
539,Rodrigo Gambale,SP,M,Masculino,17/03/1984,41,TRUE
540,Rodrigo Rollemberg,RJ,M,Masculino,13/07/1959,66,TRUE
541,Rodrigo Valadares,SE,M,Masculino,06/08/1989,36,TRUE
542,Rogéria Santos,RJ,F,Feminino,19/08/1966,59,TRUE
543,Rogério Correia,MG,M,Masculino,11/01/1958,67,TRUE
544,Romero Rodrigues,PB,M,Masculino,09/01/1966,59,TRUE
545,Ronaldo Nogueira,RS,M,Masculino,25/04/1966,59,TRUE
546,Rosana Valle,SP,F,Feminino,08/05/1969,56,TRUE
547,Rosangela Gomes,RJ,F,Feminino,27/12/1966,58,TRUE
548,Rosangela Moro,PR,F,Feminino,28/05/1974,51,TRUE
549,Rosângela Reis,MG,F,Feminino,18/04/1963,62,TRUE
550,Roseana Sarney,MA,F,Feminino,01/06/1953,72,TRUE
551,Rubens Otoni,GO,M,Masculino,06/02/1956,69,TRUE
552,Rubens Pereira Júnior,MA,M,Masculino,16/03/1984,41,TRUE
553,Rui Falcão,MG,M,Masculino,26/11/1943,81,TRUE
554,Ruy Carneiro,PB,M,Masculino,17/08/1970,55,FALSE
555,Sâmia Bomfim,SP,F,Feminino,22/08/1989,36,TRUE
556,Samuel Santos,BA,M,Masculino,03/10/1971,54,TRUE
557,Samuel Viana,MG,M,Masculino,05/03/1992,33,TRUE
558,Sanderson,RS,M,Masculino,01/12/1969,55,TRUE
559,Sandro Alex,PR,M,Masculino,25/11/1972,52,TRUE
560,Sargento Fahur,PR,M,Masculino,06/11/1963,61,TRUE
561,Sargento Gonçalves,PB,M,Masculino,27/02/1984,41,TRUE
562,Sargento Portugal,RJ,M,Masculino,26/08/1976,49,TRUE
563,Saullo Vianna,AM,M,Masculino,22/06/1984,41,TRUE
564,Saulo Pedroso,SP,M,Masculino,21/01/1983,42,TRUE
565,Sérgio Brito,BA,M,Masculino,08/06/1961,64,TRUE
566,Sergio Souza,PR,M,Masculino,13/03/1971,54,TRUE
567,Sidney Leite,AM,M,Masculino,08/04/1967,58,TRUE
568,Silas Câmara,AC,M,Masculino,15/12/1962,62,FALSE
569,Silvia Cristina,ES,F,Feminino,15/01/1974,51,TRUE
570,Silvia Waiãpi,AP,F,Feminino,29/08/1975,50,TRUE
571,Silvio Antonio,MA,M,Masculino,06/08/1969,56,TRUE
572,Silvio Costa Filho,PE,M,Masculino,05/03/1982,43,TRUE
573,Silvye Alves,GO,F,Feminino,08/11/1980,44,TRUE
574,Simone Marquetto,SP,F,Feminino,20/09/1975,50,TRUE
575,Socorro Neri,AC,F,Feminino,19/05/1966,59,TRUE
576,Sônia Guajajara,MA,F,Feminino,06/03/1974,51,TRUE
577,Sonize Barbosa,AP,F,Feminino,12/05/1971,54,TRUE
578,Soraya Santos,RJ,F,Feminino,04/12/1958,66,TRUE
579,Sóstenes Cavalcante,AL,M,Masculino,16/01/1975,50,TRUE
580,Stefano Aguiar,MG,M,Masculino,03/03/1976,49,TRUE
581,Tabata Amaral,SP,F,Feminino,14/11/1993,31,TRUE
582,Tadeu Oliveira,CE,M,Masculino,25/10/1966,59,TRUE
583,Tadeu Veneri,PR,M,Masculino,10/02/1953,72,TRUE
584,Talíria Petrone,RJ,F,Feminino,09/04/1985,40,TRUE
585,Tarcísio Motta,RJ,M,Masculino,28/01/1975,50,TRUE
586,Thiago de Joaldo,SP,M,Masculino,20/06/1982,43,TRUE
587,Thiago Flores,SP,M,Masculino,03/07/1980,45,TRUE
588,Tiago Dimas,MG,M,Masculino,04/08/1988,37,TRUE
589,Tião Medeiros,PR,M,Masculino,08/01/1983,42,TRUE
590,Tiririca,CE,M,Masculino,01/05/1965,60,TRUE
591,Toninho Wandscheer,PR,M,Masculino,31/08/1950,75,TRUE
592,Túlio Gadêlha,PE,M,Masculino,12/11/1987,37,TRUE
593,Ulisses Guimarães,MG,M,Masculino,22/02/1989,36,TRUE
594,Valmir Assunção,BA,M,Masculino,17/12/1964,60,TRUE
595,Vander Loubet,MS,M,Masculino,22/01/1964,61,TRUE
596,Vermelho,PR,M,Masculino,01/03/1959,66,TRUE
597,Vicentinho,RN,M,Masculino,08/04/1956,69,TRUE
598,Vicentinho Júnior,GO,M,Masculino,11/04/1985,40,TRUE
599,Vinicius Carvalho,RJ,M,Masculino,07/01/1966,59,TRUE
600,Vinicius Gurgel,AP,M,Masculino,31/07/1978,47,TRUE
601,Vitor Lippi,SP,M,Masculino,18/05/1959,66,FALSE
602,Waldemar Oliveira,PE,M,Masculino,29/11/1972,52,TRUE
603,Waldenor Pereira,BA,M,Masculino,08/03/1954,71,TRUE
604,Washington Quaquá,RJ,M,Masculino,31/05/1971,54,TRUE
605,Weliton Prado,MG,M,Masculino,24/08/1975,50,TRUE
606,Wellington Roberto,PB,M,Masculino,19/05/1959,66,TRUE
607,Welter,PR,M,Masculino,23/11/1968,56,TRUE
608,Wilson Santiago,PB,M,Masculino,10/06/1957,68,TRUE
609,Wolmer Araújo,MA,M,Masculino,11/08/1977,48,TRUE
610,Yandra Moura,SE,F,Feminino,25/04/1994,31,TRUE
611,Yury do Paredão,CE,M,Masculino,31/05/1988,37,TRUE
612,Zé Adriano,AC,M,Masculino,18/03/1966,59,TRUE
613,Zé Haroldo Cathedral,MT,M,Masculino,22/03/1982,43,TRUE
614,Zé Neto,BA,M,Masculino,30/03/1964,61,TRUE
615,Zé Silva,MG,M,Masculino,11/05/1963,62,TRUE
616,Zé Trovão,SP,M,Masculino,22/07/1988,37,TRUE
617,Zé Vitor,MG,M,Masculino,01/11/1984,40,TRUE
618,Zeca Dirceu,PR,M,Masculino,21/06/1978,47,TRUE
619,Zezinho Barbary,AC,M,Masculino,28/05/1966,59,TRUE
620,Zucco,RS,M,Masculino,09/03/1974,51,TRUE